"Goblin",         25,     3,      2,      0,      0,      10,     1,      0,      1,      5,      1,      10,     1,     "Bag of Gold",        30,          12
"Berzerker",      25,    10,      0,      0,      0,      12,     2,      1,      1,      5,      0,       5,     1,     "King Zolars Crown", 200,          13 
"Soldier",        25,     1,      3,      0,      0,       7,     1,      0,      1,      5,      1,      20,     1,     "Mana Refiller",      20,          14
"Mage",           70,    15,     13,     12,     25,      90,     4,      2,      3,     30,      3,      30,     0,     "",                    0,          0
"Warrior",        60,    23,     20,      0,      0,     120,     5,      4,      4,     20,      4,      40,     0,     "",                    0,          0
"Trainer",      5000,     0,    300,      0,      0,       0,     0,      0,      0,      0,    250,       0,     0,     "",                    0,          0
"Dragon",        800,    98,     80,     15,     30,     600,     5,      8,     18,    150,     25,     700,     1,     "Dragon Scale",      100,          15
"Knight",       1200,    146,   150,     10,      0,     800,    15,     10,     22,    150,     43,     900,     0,     "",                    0,          0
"Master",       2000,    64,    185,     25,     50,    1200,    25,     20,     25,    300,     30,    1000,     0,     "",                    0,          0
"Demon",        8000,    655,   620,    100,    200,    5000,    10,     10,     40,    200,     60,    2000,     0,     "",                    0,          0
"Dragon Lord", 15000,    800,   700,    150,    300,   12000,    50,     60,     70,    400,     50,    5000,     0,     "",                    0,          0
"Master Demon",25000,    999,   999,    300,    300,   30000,   200,    200,    100,  30000,    100,   10000,     0,     "",                    0,          0
"Knife",         6,        6
"Hammer",        8,        2     
"Club",          5,        5      
"Sword",        10,       10        
"Giantsword",   50,       25     
"Small Sword",   0,      300     
"Flame",       100,       30
"Warriorsword"  70,       40
"Giantsword"    50,       25   
"Hell Sword"   160,      120
"Flame",       140,       40
"Flame Axe",   290,      150

  DATA          HP     ATK     DEF     MAG1    MAG2    PTS    USEN1   USEN2    LVL   MAGPTS    ARM     MONEY   LOOT     WHATLOOT        CHANCE(1 IN ?)    ITEMN
